[2024-05-04 00:53:37,206: INFO: limiter: Initializing default bucket(InMemoryBucket) with rates: [limit=10/1000]]
[2024-05-04 00:56:25,223: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-04 00:56:25,254: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-04 00:56:25,261: ERROR: 3074081455: yaml file is empty]
[2024-05-04 00:59:16,736: INFO: limiter: Initializing default bucket(InMemoryBucket) with rates: [limit=10/1000]]
[2024-05-04 00:59:16,785: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-04 00:59:16,837: INFO: common: created directory at: artifacts]
[2024-05-04 00:59:16,838: INFO: common: created directory at: artifacts/data_ingestion]
[2024-05-04 00:59:16,839: ERROR: 3074081455: DataIngestionConfig.__init__() got an unexpected keyword argument 'local_data_file']
[2024-05-04 00:59:37,249: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-04 00:59:37,251: INFO: common: created directory at: artifacts]
[2024-05-04 00:59:37,254: INFO: common: created directory at: artifacts/data_ingestion]
[2024-05-04 00:59:37,256: ERROR: 2843433678: DataIngestionConfig.__init__() got an unexpected keyword argument 'local_data_file']
[2024-05-04 00:59:42,148: ERROR: 2843433678: [Errno 2] No such file or directory: 'config\\config.yaml']
[2024-05-04 00:59:52,262: INFO: limiter: Initializing default bucket(InMemoryBucket) with rates: [limit=10/1000]]
[2024-05-04 00:59:52,299: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-04 00:59:52,301: INFO: common: created directory at: artifacts]
[2024-05-04 00:59:52,304: INFO: common: created directory at: artifacts/data_ingestion]
[2024-05-04 00:59:52,306: ERROR: 2843433678: DataIngestionConfig.__init__() got an unexpected keyword argument 'local_data_file']
[2024-05-04 01:00:30,141: ERROR: 2843433678: [Errno 2] No such file or directory: 'config\\config.yaml']
